# det_alpha	det_beta	CI Coeffs
[0, 3]	[1, 7]	-0.001679508200
[0, 3]	[2, 7]	0.000000000000
[0, 3]	[3, 7]	0.000000000000
[0, 3]	[4, 7]	0.000000000000
[0, 3]	[5, 7]	0.000000000000
[0, 3]	[6, 7]	0.000000000000
[0, 3]	[0, 8]	0.000000000000
[0, 3]	[1, 8]	0.000000000000
[0, 3]	[2, 8]	0.000000000851
[0, 3]	[3, 8]	-0.000141692271
[0, 3]	[4, 8]	-0.000000000418
[0, 3]	[5, 8]	0.000340807834
[0, 3]	[6, 8]	0.000128793132
[0, 3]	[7, 8]	-0.000414986919
[1, 3]	[0, 1]	0.000000000000
[1, 3]	[0, 2]	-0.000000001644
[1, 3]	[1, 2]	0.000000003995
[1, 3]	[0, 3]	-0.001164149275
[1, 3]	[1, 3]	-0.000059389777
[1, 3]	[2, 3]	0.000000000000
[1, 3]	[0, 4]	0.000000001498
[1, 3]	[1, 4]	-0.000000002200
[1, 3]	[2, 4]	0.000000000000
[1, 3]	[3, 4]	0.000000000000
[1, 3]	[0, 5]	0.000743424300
[1, 3]	[1, 5]	-0.000459355123
[1, 3]	[2, 5]	0.000000000000
[1, 3]	[3, 5]	0.000000000000
[1, 3]	[4, 5]	0.000000000000
[1, 3]	[0, 6]	0.000280946900
[1, 3]	[1, 6]	-0.000173594182
[1, 3]	[2, 6]	0.000000000000
[1, 3]	[3, 6]	0.000000000000
[1, 3]	[4, 6]	0.000000000000
[1, 3]	[5, 6]	0.000000000000
[1, 3]	[0, 7]	-0.000905250305
[1, 3]	[1, 7]	0.000559344555
[1, 3]	[2, 7]	0.000000000000
[1, 3]	[3, 7]	0.000000000000
[1, 3]	[4, 7]	0.000000000000
[1, 3]	[5, 7]	0.000000000000
[1, 3]	[6, 7]	0.000000000000
[1, 3]	[0, 8]	0.000000000000
[1, 3]	[1, 8]	0.000000000000
[1, 3]	[2, 8]	-0.000000003134
[1, 3]	[3, 8]	0.000299127977
[1, 3]	[4, 8]	0.000000001670
[1, 3]	[5, 8]	-0.000050835427
[1, 3]	[6, 8]	-0.000019211212
[1, 3]	[7, 8]	0.000061899864
[2, 3]	[0, 1]	0.000000000170
[2, 3]	[0, 2]	0.000000000000
[2, 3]	[1, 2]	0.000000000000
[2, 3]	[0, 3]	0.000000000000
[2, 3]	[1, 3]	0.000000000000
[2, 3]	[2, 3]	-0.000097998160
[2, 3]	[0, 4]	0.000000000000
[2, 3]	[1, 4]	0.000000000000
[2, 3]	[2, 4]	-0.000000000229
[2, 3]	[3, 4]	-0.000000000341
[2, 3]	[0, 5]	0.000000000000
[2, 3]	[1, 5]	0.000000000000
[2, 3]	[2, 5]	0.000092450105
